 numeric code,Location,Sex,Note,2000.00,2005,2010,2015,2020
508,         Mozambique,Male,,8666.20,10106.007,11761.394,13660.351,15811.457
638,         Réunion,Both sexes combined,,736.71,791.598,830.519,863.363,896.536
638,         Réunion,Female,,377.19,403.143,428.375,445.266,462.577
638,         Réunion,Male,,359.53,388.455,402.132,418.093,433.948
646,         Rwanda,Both sexes combined,,8025.70,8991.735,10246.842,11629.553,13087.173
646,         Rwanda,Female,,4110.74,4597.014,5229.828,5928.316,6667.723
646,         Rwanda,Male,,3914.96,4394.718,5017.009,5701.23,6419.45
690,         Seychelles,Both sexes combined,,81.15,88.744,91.405,93.742,96.112
690,         Seychelles,Female,,40.73,44.406,44.262,47.286,48.712
690,         Seychelles,Male,,40.42,44.341,47.139,46.453,47.405
706,         Somalia,Both sexes combined,,9011.48,10409.925,12053.223,13908.129,16105.174
706,         Somalia,Female,,4495.28,5198.619,6035.996,6979.084,8081.856
706,         Somalia,Male,,4516.20,5211.302,6017.235,6929.042,8023.32
728,         South Sudan,Both sexes combined,,6700.66,8108.877,10067.192,11882.136,13610.007
728,         South Sudan,Female,,3363.00,4063.072,5034.945,5932.058,6785.749
728,         South Sudan,Male,,3337.67,4045.798,5032.251,5950.069,6824.253
800,         Uganda,Both sexes combined,,24039.27,28543.94,33915.133,40144.87,47187.703
800,         Uganda,Female,,12155.01,14410.903,17074.599,20182.781,23705.818
800,         Uganda,Male,,11884.26,14133.031,16840.539,19962.086,23481.884
834,         United Republic of Tanzania,Both sexes combined,2,34178.04,39410.545,46098.591,53879.957,62774.619
834,         United Republic of Tanzania,Female,2,17263.72,19969.893,23349.004,27253.074,31696.864
834,         United Republic of Tanzania,Male,2,16914.32,19440.653,22749.591,26626.877,31077.748
894,         Zambia,Both sexes combined,,10531.22,12052.156,13850.033,16100.587,18679.273
894,         Zambia,Female,,5323.08,6085.268,6985.74,8112.239,9410.937
894,         Zambia,Male,,5208.14,5966.889,6864.296,7988.34,9268.344
716,         Zimbabwe,Both sexes combined,,12222.25,12940.032,14086.317,15777.451,17680.465
716,         Zimbabwe,Female,,6215.45,6625.447,7227.116,8099.353,9053.922
716,         Zimbabwe,Male,,6006.80,6314.587,6859.21,7678.096,8626.535
911,      Middle Africa,Both sexes combined,,96098.87,111954.048,131351.399,153742.724,178959.265
911,      Middle Africa,Female,,48495.80,56394.67,66037.382,77178.982,89752.115
911,      Middle Africa,Male,,47603.06,55559.377,65314.021,76563.733,89207.129
24,         Angola,Both sexes combined,,16440.92,19552.542,23369.131,27859.305,32827.401
24,         Angola,Female,,8407.38,9995.794,11936.012,14205.74,16718.38
24,         Angola,Male,,8033.54,9556.744,11433.112,13653.563,16109.023
120,         Cameroon,Both sexes combined,,15274.23,17420.795,19970.495,22834.522,25958.184
120,         Cameroon,Female,,7660.63,8722.279,9985.022,11410.454,12960.135
120,         Cameroon,Male,,7613.61,8698.514,9985.48,11424.075,12998.044
140,         Central African Republic,Both sexes combined,,3754.99,4127.91,4448.525,4546.1,4920.889
140,         Central African Republic,Female,,1907.22,2093.008,2253.891,2303.828,2493.404
140,         Central African Republic,Male,,1847.76,2034.901,2194.63,2242.275,2427.479
148,         Chad,Both sexes combined,,8342.56,10067.009,11887.202,14009.413,16285.093
148,         Chad,Female,,4187.08,5041.948,5942.189,6998.24,8131.218
148,         Chad,Male,,4155.47,5025.054,5945.019,7011.174,8153.875
178,         Congo,Both sexes combined,,3225.73,3718.243,4386.693,4995.648,5686.917
178,         Congo,Female,,1615.15,1860.063,2192.709,2496.699,2842.201
178,         Congo,Male,,1610.58,1858.182,2193.991,2498.945,2844.717
180,         Democratic Republic of the Congo,Both sexes combined,,47076.39,54751.476,64523.263,76196.619,89505.201
180,         Democratic Republic of the Congo,Female,,23731.84,27546.763,32401.848,38200.541,44823.072
180,         Democratic Republic of the Congo,Male,,23344.55,27204.717,32121.415,37996.074,44682.112
226,         Equatorial Guinea,Both sexes combined,,614.32,757.317,951.104,1175.389,1406.28
226,         Equatorial Guinea,Female,,296.26,356.143,434.623,526.976,625.814
